	Russian	Arabic	Target
3221	Тогда Херувимы подняли крылья свои, и колеса подле них; и слава Бога Израилева вверху над ними.	ثم رفعت الكروبيم اجنحتها والبكرات معها ومجد اله اسرائيل عليها من فوق.	колеса
3222	(40:13) а меня сохранишь в целости моей и поставишь пред лицем Твоим на веки.	‎اما انا فبكمالي دعمتني واقمتني قدامك الى الابد‎.	целости
3223	Многие очистятся, убелятся и переплавлены будут в искушении; нечестивые же будут поступать нечестиво, и не уразумеет сего никто из нечестивых, а мудрые уразумеют.	كثيرون يتطهرون ويبيّضون ويمحّصون. اما الاشرار فيفعلون شرا ولا يفهم احد الاشرار لكن الفاهمون يفهمون.	искушении
3224	Деяния Ровоамовы, первые и последние, описаны в записях Самеяпророка и Адды прозорливца при родословиях. И были войны у Ровоама с Иеровоамом во все дни.	وامور رحبعام الاولى والاخيرة أما هي مكتوبة في اخبار شمعيا النبي وعدّو الرائي عن الانتساب. وكانت حروب بين رحبعام ويربعام كل الايام.	Деяния
3225	Совершил Господь гнев Свой, излил ярость гнева Своего и зажег на Сионе огонь, который пожрал основания его.	اتم الرب غيظه. سكب حمو غضبه واشعل نارا في صهيون فأكل أسسها.	основания
3226	Горе замышляющим беззаконие и на ложах своих придумывающим злодеяния, которые совершают утром на рассвете, потому что есть в руке их сила!	ويل للمفتكرين بالبطل والصانعين الشر على مضاجعهم. في نور الصباح يفعلونه لانه في قدرة يدهم.	злодеяния
3227	золотые подвески мы сделаем тебе с серебряными блестками.	ما اجمل خديك بسموط وعنقك بقلائد.	подвески
3228	и всякий, оставшийся из дома твоего, придет кланяться ему из-за геры серебра и куска хлеба и скажет: „причисли меня к какой-либо левитской должности, чтоб иметь пропитание'.	ويكون ان كل من يبقى في بيتك يأتي ليسجد له لاجل قطعة فضة ورغيف خبز ويقول ضمني الى احدى وظائف الكهنوت لآكل كسرة خبز	куска
3229	а всякий дух, который не исповедует Иисуса Христа,пришедшего во плоти, не есть от Бога, но это дух антихриста, о котором вы слышали, что он придет и теперь есть уже в мире.	وكل روح لا يعترف بيسوع المسيح انه قد جاء في الجسد فليس من الله. وهذا هو روح ضد المسيح الذي سمعتم انه يأتي والآن هو في العالم.	антихриста
3230	узорчатые полотна из Египта употреблялись на паруса твои и служили флагом; голубого и пурпурового цвета ткани с островов Елисы были покрывалом твоим.	كتان مطرز من مصر هو شراعك ليكون لك راية. الاسمانجوني والارجوان من جزائر اليشة كانا غطاءك.	полотна
3231	И застроятся потомками твоими пустыни вековые: ты восстановишь основания многих поколений, и будут называть тебя восстановителем развалин, возобновителем путей для населения.	ومنك تبنى الخرب القديمة. تقيم اساسات دور فدور فيسمونك مرمم الثغرة مرجع المسالك للسكنى	населения
3232	На место его восстанет некий, который пошлет сборщика податей, пройти по царству славы; но и он после немногих дней погибнет, и не от возмущения и не в сражении.	فيقوم مكانه من يعبر جابي الجزية في فخر المملكة وفي ايام قليلة ينكسر لا بغضب ولا بحرب.	сборщика
3233	Овцы – на одежду тебе, и козлы – на покупку поля.	الحملان للباسك وثمن حقل اعتدة.	покупку
3234	И не будет он впредь для дома Израилева колючим терном и причиняющим боль волчцом, более всех соседей зложелательствующим ему, и узнают, что Я Господь Бог.	فلا يكون بعد لبيت اسرائيل سلاء ممرّر ولا شوكة موجعة من كل الذين حولهم الذين يبغضونهم فيعلمون اني انا السيد الرب.	боль
3235	на юге идет он к возвышенности Акраввимской, проходит Цин и, восходя с южной стороны к Кадес-Варне, проходит Хецрон и, восходя до Аддара, поворачивает к Каркае,	وخرج الى جنوب عقبة عقربّيم وعبر الى صين وصعد من جنوب قادش برنيع وعبر الى حصرون وصعد الى ادّار ودار الى القرقع	возвышенности
3236	каждая женщина выпросит у соседки своей и у живущей в доме ее вещей серебряных и вещей золотых, и одежд, и вы нарядите ими и сыновей ваших и дочерей ваших,и оберете Египтян.	بل تطلب كل امرأة من جارتها ومن نزيلة بيتها امتعة فضة وامتعة ذهب وثيابا وتضعونها على بنيكم وبناتكم. فتسلبون المصريين	соседки
3237	Вы скажете: „за что?' За то, что Господь был свидетелем между тобою и женою юности твоей, против которой ты поступил вероломно, между тем как она подруга твоя и законная жена твоя.	فقلتم لماذا. من اجل ان الرب هو الشاهد بينك وبين امرأة شبابك التي انت غدرت بها وهي قرينتك وامرأة عهدك.	подруга
3238	Но земля растлилась пред лицем Божиим, и наполнилась земля злодеяниями.	وفسدت الارض امام الله وامتلأت الارض ظلما.	злодеяниями
3239	Оно подобно закваске, которую женщина, взяв, положила в три меры муки, доколе не вскисло все.	يشبه خميرة اخذتها امرأة وخبأتها في ثلاثة اكيال دقيق حتى اختمر الجميع	муки
3240	и напиши на камнях сих все слова закона сего, когда перейдешь Иордан, чтобы вступить в землю, которую Господь Бог твой дает тебе, в землю, где течет молоко и мед, как говорил тебе Господь Бог отцов твоих.	وتكتب عليها جميع كلمات هذا الناموس حين تعبر لكي تدخل الارض التي يعطيك الرب الهك ارضا تفيض لبنا وعسلا كما قال لك الرب اله آبائك.	молоко
3241	Твоею ли мудростью летает ястреб и направляет крылья свои на полдень?	أمن فهمك يستقل العقاب وينشر جناحيه نحو الجنوب.	ястреб
3242	где нашли братьев, и были упрошены пробыть у них семь дней, а потом пошли в Рим.	حيث وجدنا اخوة فطلبوا الينا ان نمكث عندهم سبعة ايام. وهكذا أتينا الى رومية‎.	Рим
3243	Если, говорю вам, он не встанет и не даст ему по дружбе с ним, то по неотступности его, встав, даст ему, сколько просит.	اقول لكم وان كان لا يقوم ويعطيه لكونه صديقه فانه من اجل لجاجته يقوم ويعطيه قدر ما يحتاج.	дружбе
3244	Сыны Иуды: Ир и Онан, и Шела, и Фарес, и Зара; но Ир и Онан умерли в земле Ханаанской. Сыны Фареса были: Есром и Хамул.	وبنو يهوذا عير وأونان وشيلة وفارص وزارح. واما عير وأونان فماتا في ارض كنعان. وكان ابنا فارص حصرون وحامول.	Ир
3245	Попали на косу, и корабль сел на мель. Нос увяз и остался недвижим, а корма разбивалась силою волн.	‎واذ وقعوا على موضع بين بحرين شططوا السفينة فارتكز المقدم ولبث لا يتحرك. واما المؤخر فكان ينحل من عنف الامواج‎.	косу
3246	И после сего события Иеровоам не сошел со своей худой дороги, но продолжал ставить из народа священников высот; кто хотел, того он посвящал, и тот становился священником высот.	بعد هذا الامر لم يرجع يربعام عن طريقه الردية بل عاد فعمل من اطراف الشعب كهنة مرتفعات. من شاء ملأ يده فصار من كهنة المرتفعات.	события
3247	и воскишит река жабами, и они выйдут и войдут в дом твой, и в спальню твою, и на постель твою, и в домы рабов твоих и народа твоего, и в печи твои, и в квашни твои,	فيفيض النهر ضفادع. فتصعد وتدخل الى بيتك والى مخدع فراشك وعلى سريرك والى بيوت عبيدك وعلى شعبك والى تنانيرك والى معاجنك.	спальню
3248	Владельцы Филистимские собрались, чтобы принести великую жертву Дагону, богу своему, и повеселиться, и сказали: бог наш предал Самсона,врага нашего, в руки наши.	واما اقطاب الفلسطينيين فاجتمعوا ليذبحوا ذبيحة عظيمة لداجون الههم ويفرحوا وقالوا قد دفع الهنا ليدنا شمشون عدونا.	Владельцы
3249	разжигаемые похотью к идолам под каждым ветвистым деревом, заколающие детей при ручьях, между расселинами скал?	المتوقدون الى الاصنام تحت كل شجرة خضراء القاتلون الاولاد في الاودية تحت شقوق المعاقل.	ручьях
3250	Старик сказал ему: будь спокоен: весь недостаток твой на мне, только не ночуй на улице.	فقال الرجل الشيخ السلام لك. انما كل احتياجك عليّ ولكن لا تبت في الساحة.	Старик
3251	Кроме посторонних приключений, у меня ежедневно стечение людей, забота о всех церквах.	عدا ما هو دون ذلك. التراكم علي كل يوم. الاهتمام بجميع الكنائس.	приключений
3252	Надменный человек, как бродящее вино, не успокаивается, так что расширяет душу свою как ад, и как смерть он ненасытен, и собирает к себе все народы, и захватывает себе все племена.	وحقا ان الخمر غادرة. الرجل متكبر ولا يهدأ. الذي قد وسّع نفسه كالهاوية وهو كالموت فلا يشبع بل يجمع الى نفسه كل الامم ويضم الى نفسه جميع الشعوب.	вино
3253	И вот, ты для них – как забавный певец с приятным голосом и хорошо играющий; они слушают слова твои, но не исполняют их.	وها انت لهم كشعر اشواق لجميل الصوت يحسن العزف فيسمعون كلامك ولا يعملون به	певец
3254	Он еще наполнит смехом уста твои и губы твои радостным восклицанием.	عندما يملأ فاك ضحكا وشفتيك هتافا.	смехом
3255	пусть они берут всякий хлеб этих наступающих хороших годов и соберут в городах хлеб под ведение фараона в пищу, и пусть берегут;	فيجمعون جميع طعام هذه السنين الجيّدة القادمة ويخزنون قمحا تحت يد فرعون طعاما في المدن ويحفظونه.	пищу
3256	Сирияне однажды пошли отрядами и взяли в плен из земли Израильской маленькую девочку, и она служила жене Неемановой.	وكان الاراميون قد خرجوا غزاة فسبوا من ارض اسرائيل فتاة صغيرة فكانت بين يدي امرأة نعمان.	девочку
3257	И четыре стола для приготовления всесожжения были из тесаных камней, длиною в полтора локтя, и шириною в полтора локтя, а вышиною в один локоть; на них кладут орудия для заклания жертвы всесожжения и других жертв.	والموائد الاربع للمحرقة من حجر نحيت الطول ذراع ونصف والعرض ذراع ونصف والسمك ذراع واحدة. كانوا يضعون عليها الادوات التي يذبحون بها المحرقة والذبيحة.	локоть
3258	если и устарел в земле корень его, и пень его замер в пыли,	ولو قدم في الارض اصلها ومات في التراب جذعها	пыли
3259	в порыве и ярости он глотает землю и не может стоять при звуке трубы;	في وثبه ورجزه يلتهم الارض ولا يؤمن انه صوت البوق.	порыве
3260	Так говорит Господь Бог, сотворивший небеса и пространство их, распростерший землю с произведениями ее, дающий дыхание народу на ней и дух ходящим по ней.	هكذا يقول الله الرب خالق السموات وناشرها باسط الارض ونتائجها معطي الشعب عليها نسمة والساكنين فيها روحا.	пространство
3261	ибо те, которые так говорят, показывают, что они ищут отечества.	فان الذين يقولون مثل هذا يظهرون انهم يطلبون وطنا.	отечества
3262	И услышал я голос с неба, как шум от множества вод и как звук сильного грома; и услышал голос как бы гуслистов, играющих на гуслях своих.	وسمعت صوتا من السماء كصوت مياه كثيرة وكصوت رعد عظيم. وسمعت صوتا كصوت ضاربين بالقيثارة يضربون بقيثاراتهم.	шум
3263	И послал Бог Ангела в Иерусалим, чтобы истреблять его. И когда он начал истреблять, увидел Господь и пожалел о сем бедствии, и сказал Ангелу-истребителю: довольно! теперь опусти руку твою. Ангел же Господень стоял тогда над гумном Орны Иевусеянина.	وارسل الله ملاكا على اورشليم لاهلاكها وفيما هو يهلك رأى الرب فندم على الشر وقال للملاك المهلك كفى الآن رد يدك. وكان ملاك الرب واقفا عند بيدر أرنان اليبوسي	истребителю
3264	силою знамений и чудес, силою Духа Божия, так что благовествование Христово распространено мною от Иерусалима и окрестности до Иллирика.	بقوّة آيات وعجائب بقوة روح الله. حتى اني من اورشليم وما حولها الى الليريكون قد اكملت التبشير بانجيل المسيح.	чудес
3265	(88:15) Правосудие и правота – основание престола Твоего; милость и истина предходят пред лицем Твоим.	‎العدل والحق قاعدة كرسيك. الرحمة والامانة تتقدمان امام وجهك.	правота
3266	И поверили Ниневитяне Богу, и объявили пост, и оделись во вретища, от большого из них до малого.	فآمن اهل نينوى بالله ونادوا بصوم ولبسوا مسوحا من كبيرهم الى صغيرهم.	пост
3267	Тогда Иисус сказал: откройте отверстие пещеры и выведите ко мне из пещеры пятерых царей тех.	فقال يشوع افتحوا فم المغارة واخرجوا اليّ هؤلاء الخمسة الملوك من المغارة.	пещеры
3268	И сказал продающим голубей: возьмите это отсюда и дома Отца Моего не делайте домом торговли.	وقال لباعة الحمام ارفعوا هذه من ههنا. لا تجعلوا بيت ابي بيت تجارة.	торговли
3269	а вы не так: но кто из вас больше, будь как меньший, и начальствующий – как служащий.	واما انتم فليس هكذا. بل الكبير فيكم ليكن كالاصغر. والمتقدم كالخادم.	служащий
3270	Если же служение смертоносным буквам, начертанное на камнях, было так славно, что сыны Израилевы не могли смотреть на лице Моисеево по причине славы лица его преходящей, –	ثم ان كانت خدمة الموت المنقوشة باحرف في حجارة قد حصلت في مجد حتى لم يقدر بنو اسرائيل ان ينظروا الى وجه موسى لسبب مجد وجهه الزائل	причине
3271	и еще двенадцать львов стояли там на шести ступенях по обе стороны. Подобного сему не бывало ни в одном царстве.	واثنا عشر اسدا واقفة هناك على الدرجات الست من هنا ومن هناك. لم يعمل مثله في جميع الممالك.	ступенях
3272	Итак, возлюбленные мои, как вы всегда были послушны, не только в присутствии моем, но гораздо более ныне во время отсутствия моего, со страхом и трепетом совершайте свое спасение,	اذا يا احبائي كما اطعتم كل حين ليس كما في حضوري فقط بل الآن بالأولى جدا في غيابي تمموا خلاصكم بخوف ورعدة	присутствии
3273	И испекли пасхального агнца на огне, по уставу; и священные жертвы сварили в котлах, горшках и кастрюлях, и поспешно роздали всему народу,	وشووا الفصح بالنار كالمرسوم. واما الاقداس فطبخوها في القدور والمراجل والصحاف وبادروا بها الى جميع بني الشعب.	горшках
3274	(72:20) Как сновидение по пробуждении, так Ты, Господи, пробудив их, уничтожишь мечты их.	‎كحلم عند التيّقظ يا رب عند التيقظ تحتقر خيالهم	мечты
3275	И сказал Давид Гаду: тяжело мне очень; но пусть впаду я в руки Господа, ибо велико милосердие Его; только бы в руки человеческие не впасть мне.	فقال داود لجاد قد ضاق بي الأمر جدا. فلنسقط في يد الرب لان مراحمه كثيرة ولا اسقط في يد انسان.	милосердие
3276	но некое страшное ожидание суда и ярость огня, готового пожрать противников.	بل قبول دينونة مخيف وغيرة نار عتيدة ان تأكل المضادين.	ожидание
3277	В первый же день недели, очень рано, неся приготовленные ароматы, пришли они ко гробу, и вместе с ними некоторые другие;	ثم في اول الاسبوع اول الفجر أتين الى القبر حاملات الحنوط الذي أعددنه ومعهنّ اناس.	ароматы
3278	(96:12) Радуйтесь, праведные, о Господе и славьте память святыни Его.	‎افرحوا ايها الصديقون بالرب واحمدوا ذكر قدسه	память
3279	В устах глупого – бич гордости; уста же мудрых охраняют их.	في فم الجاهل قضيب لكبريائه. اما شفاه الحكماء فتحفظهم.	гордости
3280	И испугались люди эти, что ввели их в дом Иосифов, и сказали: это за серебро, возвращенное прежде в мешки наши, ввели нас, чтобы придраться к нам и напасть на нас, и взять нас в рабство, и ослов наших.	فخاف الرجال اذ أدخلوا الى بيت يوسف. وقالوا لسبب الفضة التي رجعت اولا في عدالنا نحن قد ادخلنا ليهجم علينا ويقع بنا ويأخذنا عبيدا وحميرنا.	мешки
3281	На кедрах внутри храма были вырезаны подобия огурцов и распускающихся цветов; все было покрыто кедром, камня не видно было.	وارز البيت من داخل كان منقورا على شكل قثّاء وبراعم زهور. الجميع ارز. لم يكن يرى حجر.	огурцов
3282	из сыновей Асафа: Заккур, Иосиф, Нефания и Ашарела сыновья Асафа,под руководством Асафа, игравшего по наставлению царя.	من بني آساف زكور ويوسف ونثنيا واشرئيلة بنو آساف تحت يد آساف المتنبّئ بين يدي الملك.	руководством
3283	Во дни благополучия пользуйся благом, а во дни несчастья размышляй: то и другое соделал Бог для того, чтобы человек ничего не мог сказать против Него.	في يوم الخير كن بخير وفي يوم الشر اعتبر. ان الله جعل هذا مع ذاك لكيلا يجد الانسان شيئا بعده	благополучия
3284	щеки его – цветник ароматный, гряды благовонных растений; губы его – лилии, источают текучую мирру;	خداه كخميلة الطيب واتلام رياحين ذكية. شفتاه سوسن تقطران مرا مائعا.	губы
3285	Аврам сказал: Владыка Господи! что Ты дашь мне? я остаюсь бездетным; распорядитель в доме моем этот Елиезер из Дамаска.	فقال ابرام ايها السيد الرب ماذا تعطيني وانا ماض عقيما ومالك بيتي هو أليعازر الدمشقي.	Владыка
3286	(44:15) в испещренной одежде ведется она к Царю; за нею ведутся к Тебе девы, подруги ее,	‎بملابس مطرّزة تحضر الى الملك. في اثرها عذارى صاحباتها‎. ‎مقدمات اليك	подруги
3287	колодезь, который выкопали князья, вырыли вожди народа с законодателем жезлами своими. Из пустыни отправились в Матанну,	بئر حفرها رؤساء حفرها شرفاء الشعب بصولجان بعصيّهم. ومن البرية الى متّانة	законодателем
3288	вот повеления, постановления и уставы, которые изрек Моисей сынам Израилевым, по исшествии их из Египта,	هذه هي الشهادات والفرائض والاحكام التي كلم بها موسى بني اسرائيل عند خروجهم من مصر	постановления
3289	А когда семь для четырех тысяч, сколько корзин набрали вы оставшихся кусков. Сказали: семь.	وحين السبعة للاربعة الآلاف كم سل كسر مملوّا رفعتم. قالوا سبعة.	корзин
3290	сына одной вдовы, из колена Неффалимова. Отец его Тирянин был медник; он владел способностью, искусством и уменьем выделывать всякие вещи из меди. И пришел он к царю Соломону и производил у него всякие работы:	وهو ابن امرأة ارملة من سبط نفتالي وابوه رجل صوري نحّاس وكان ممتلئا حكمة وفهما ومعرفة لعمل كل عمل في النحاس. فأتى الى الملك سليمان وعمل كل عمله.	способностью
3291	в кучу камней вплетаются корни его, между камнями врезываются.	واصوله مشتبكة في الرجمة فترى محل الحجارة.	кучу
3292	„День нашего царя!' говорят князья, разгоряченные до болезни вином, а он протягивает руку свою к кощунам.	يوم ملكنا يمرض الرؤساء من سورة الخمر. يبسط يده مع المستهزئين.	болезни
3293	во втором ряду: карбункул, сапфир и алмаз;	والصف الثاني بهرمان وياقوت ازرق وعقيق ابيض.	алмаз
3294	Ибо Царство Небесное подобно хозяину дома, который вышел рано поутру нанять работников в виноградник свой	فان ملكوت السموات يشبه رجلا رب بيت خرج مع الصبح ليستأجر فعلة لكرمه.	работников
3295	И была надпись вины Его: Царь Иудейский.	وكان عنوان علّته مكتوبا ملك اليهود.	надпись
3296	И взял Иессей осла с хлебом и мех с вином и одного козленка, и послал с Давидом, сыном своим, к Саулу.	فاخذ يسّى حمارا حاملا خبزا وزق خمر وجدي معزى وارسلها بيد داود ابنه الى شاول.	вином
3297	призвав же десять рабов своих, дал им десять мин и сказал им: употребляйте их в оборот, пока я возвращусь.	فدعا عشرة عبيد له واعطاهم عشرة أمناء وقال لهم تاجروا حتى آتي.	оборот
3298	Мытарь же, стоя вдали, не смел даже поднять глаз на небо; но, ударяя себя в грудь, говорил: Боже! будь милостив ко мне грешнику!	واما العشار فوقف من بعيد لا يشاء ان يرفع عينيه نحو السماء. بل قرع على صدره قائلا اللهم ارحمني انا الخاطئ.	грудь
3299	чтобы каждый отпустил на волю раба своего и рабу свою, Еврея и Евреянку, чтобы никто из них не держал в рабстве Иудея, брата своего.	ان يطلق كل واحد عبده وكل واحد امته العبراني والعبرانية حرّين حتى لا يستعبدهما اي اخويه اليهوديين احد.	Еврея
3300	и возвращу плен Египта, и обратно приведу их в землю Пафрос, в землю происхождения их, и там они будут царством слабым.	وارد سبي مصر وارجعهم الى ارض فتروس الى ارض ميلادهم ويكونون هناك مملكة حقيرة.	происхождения
3301	И когда Моисей выходил к скинии, весь народ вставал, и становился каждый у входа в свой шатер и смотрел вслед Моисею, доколе он не входил в скинию.	وكان جميع الشعب اذا خرج موسى الى الخيمة يقومون ويقفون كل واحد في باب خيمته وينظرون وراء موسى حتى يدخل الخيمة.	входа
3302	Не желай им мира и благополучия во все дни твои, во веки.	لا تلتمس سلامهم ولا خيرهم كل ايامك الى الابد.	благополучия
3303	Ниневия со времени существования своего была как пруд, полный водою, а они бегут. „Стойте, стойте!' Но никто не оглядывается.	ونينوى كبركة ماء منذ كانت ولكنهم الآن هاربون. قفوا قفوا ولا ملتفت.	существования
3304	Ибо если я снова созидаю, что разрушил, то сам себя делаю преступником.	فاني ان كنت ابني ايضا هذا الذي قد هدمته فاني اظهر نفسي متعديا.	преступником
3305	(87:3) да внидет пред лице Твое молитва моя; приклони ухо Твое к молению моему,	‎فلتأت قدامك صلاتي. امل اذنك الى صراخي‎.	ухо
3306	потому что под сенью ее то же, что под сенью серебра; но превосходство знания в том, что мудрость дает жизнь владеющему ею.	لان الذي في ظل الحكمة هو في ظل الفضة وفضل المعرفة هو ان الحكمة تحيي اصحابها.	превосходство
3307	Настал удобный день, когда Ирод, по случаю дня рождения своего,делал пир вельможам своим, тысяче начальникам и старейшинам Галилейским, -	واذ كان يوم موافق لما صنع هيرودس في مولده عشاء لعظمائه وقواد الالوف ووجوه الجليل	рождения
3308	(26:1) Псалом Давида. Господь – свет мой и спасение мое: кого мне бояться? Господь крепость жизни моей: кого мне страшиться?	لداود‎. ‎الرب نوري وخلاصي ممن اخاف. الرب حصن حياتي ممن ارتعب‎.	крепость
3309	(108:8) да будут дни его кратки, и достоинство его да возьмет другой;	‎لتكن ايامه قليلة ووظيفته ليأخذها آخر‎.	достоинство
3310	Кто приготовляет ворону корм его, когда птенцы его кричат к Богу,бродя без пищи?	من يهيئ للغراب صيده اذ تنعب فراخه الى الله وتتردد لعدم القوت	корм
3311	От множества коней его покроет тебя пыль, от шума всадников и колес и колесниц потрясутся стены твои, когда он будет входитьв ворота твои, как входят в разбитый город.	ولكثرة خيله يغطيك غبارها. من صوت الفرسان والعجلات والمركبات تتزلزل اسوارك عند دخوله ابوابك كما تدخل مدينة مثغورة.	пыль
3312	Вы возделывали нечестие, пожинаете беззаконие, едите плод лжи, потому что ты надеялся на путь твой, на множество ратников твоих.	قد حرثتم النفاق حصدتم الاثم. اكلتم ثمر الكذب. لانك وثقت بطريقك بكثرة ابطالك.	лжи
3313	Наступил и второй день новомесячия, а место Давида оставалось праздным. Тогда сказал Саул сыну своему Ионафану: почему сын Иессеев не пришел к обеду ни вчера, ни сегодня?	وكان في الغد الثاني من الشهر ان موضع داود خلا فقال شاول ليوناثان ابنه لماذا لم يات ابن يسّى الى الطعام لا امس ولا اليوم.	обеду
3314	Моя кожа почернела на мне, и кости мои обгорели от жара.	حرش جلدي عليّ وعظامي احترّت من الحرارة فيّ.	жара
3315	Но эта еще умножила блудодеяния свои, потому что, увидев вырезанных на стене мужчин, красками нарисованные изображения Халдеев,	وزادت زناها ولما نظرت الى رجال مصوّرين على الحائط صور الكلدانيين مصوّرة بمغرة	красками
3316	и, когда проходили купцы Мадиамские, вытащили Иосифа изо рва и продали Иосифа Измаильтянам за двадцать сребренников; а они отвели Иосифа в Египет.	واجتاز رجال مديانيون تجار. فسحبوا يوسف واصعدوه من البئر وباعوا يوسف للاسمعيليين بعشرين من الفضة. فأتوا بيوسف الى مصر.	купцы
3317	в Заноахе, Одолламе и селах их, в Лахисе и на полях его, в Азеке и зависящих от нее городах. Они расположились от Вирсавии и до долины Енномовой.	وزانوح وعدلام وضياعهما ولخيش وحقولها وعزيقة وقراها وحلّوا من بئر سبع الى وادي هنوم	селах
3318	Посему Я дам Ему часть между великими, и с сильными будет делить добычу, за то, что предал душу Свою на смерть, и к злодеям причтен был, тогда как Он понес на Себе грех многих и за преступников сделался ходатаем.	لذلك اقسم له بين الاعزاء ومع العظماء يقسم غنيمة من اجل انه سكب للموت نفسه وأحصي مع أثمة وهو حمل خطية كثيرين وشفع في المذنبين	преступников
3319	Что за удовольствие Вседержителю, что ты праведен? И будет ли Ему выгода от того, что ты содержишь пути твои в непорочности?	هل من مسرّة للقدير اذا تبررت او من فائدة اذا قوّمت طرقك.	удовольствие
3320	Он нашел его в пустыне, в степи печальной и дикой, ограждал его, смотрел за ним, хранил его, как зеницу ока Своего;	وجده في ارض قفر وفي خلاء مستوحش خرب. احاط به ولاحظه وصانه كحدقة عينه.	ока
3321	Все это сделано было из дорогих камней, обтесанных по размеру, обрезанных пилою, с внутренней и наружной стороны, от основания до выступов, и с наружной стороны до большого двора.	كل هذه من حجارة كريمة كقياس الحجارة المنحوتة منشورة بمنشار من داخل ومن خارج من الاساس الى الافريز ومن داخل الى الدار الكبيرة.	размеру
3322	сын человеческий! если бы какая земля согрешила предо Мною, вероломно отступив от Меня, и Я простер на нее руку Мою, и истребил в ней хлебную опору, и послал на нее голод, и стал губить на ней людей и скот;	يا ابن آدم ان اخطأت اليّ ارض وخانت خيانة فمددت يدي عليها وكسرت لها قوام الخبز وارسلت عليها الجوع وقطعت منها الانسان والحيوان	опору
3323	И венец на нем медный, а высота венца пять локтей; и сетка и гранатовые яблоки вокруг были все медные; то же и на другом столбе с гранатовыми яблоками.	وعليه تاج من نحاس ارتفاع التاج الواحد خمس اذرع وعلى التاج حواليه شبكة ورمانات الكل من نحاس. ومثل ذلك للعمود الثاني والرمانات	яблоками
3324	(68:3) Я погряз в глубоком болоте, и не на чем стать; вошел во глубину вод, и быстрое течение их увлекает меня.	‎غرقت في حمأة عميقة وليس مقر. دخلت الى اعماق المياه والسيل غمرني‎.	болоте
3325	и вчера, и третьего дня, когда еще Саул был царем, ты выводил и вводил Израиля, и Господь Бог твой сказал тебе: „ты будешь пасти народ Мой, Израиля и ты будешь вождем народа Моего Израиля'.	ومنذ امس وما قبله حين كان شاول ملكا كنت انت تخرج وتدخل اسرائيل وقد قال لك الرب الهك انت ترعى شعبي اسرائيل وانت تكون رئيسا لشعبي اسرائيل.	вождем
3326	Ловите нам лисиц, лисенят, которые портят виноградники, а виноградники наши в цвете.	خذوا لنا الثعالب الثعالب الصغار المفسدة الكروم لان كرومنا قد أقعلت	цвете
3327	Оно подобно зерну горчичному, которое, взяв, человек посадил в саду своем; и выросло, и стало большим деревом, и птицы небесные укрывались в ветвях его.	يشبه حبة خردل اخذها انسان والقاها في بستانه فنمت وصارت شجرة كبيرة وتآوت طيور السماء في اغصانها	ветвях
3328	И сотворит Господь над всяким местом горы Сиона и над собраниями ее облако и дым во время дня и блистание пылающего огня во время ночи; ибо над всем чтимым будет покров.	يخلق الرب على كل مكان من جبل صهيون وعلى محفلها سحابة نهارا ودخانا ولمعان نار ملتهبة ليلا. لان على كل مجد غطاء.	собраниями
3329	но во всем являем себя, как служители Божии, в великом терпении, в бедствиях, в нуждах, в тесных обстоятельствах,	بل في كل شيء نظهر انفسنا كخدام الله في صبر كثير في شدائد في ضرورات في ضيقات	обстоятельствах
3330	Ибо прежде создан Адам, а потом Ева;	لان آدم جبل اولا ثم حواء.	Ева
3331	Оттуда двинулся он к горе, на восток от Вефиля; и поставил шатер свой так, что от него Вефиль был на запад, а Гай на восток; и создал там жертвенник Господу и призвал имя Господа.	ثم نقل من هناك الى الجبل شرقي بيت ايل ونصب خيمته. وله بيت ايل من المغرب وعاي من المشرق. فبنى هناك مذبحا للرب ودعا باسم الرب.	восток
3332	В те дни пришли из Иерусалима в Антиохию пророки.	وفي تلك الايام انحدر انبياء من اورشليم الى انطاكية‎.	пророки
3333	Этот негодный народ, который не хочет слушать слов Моих, живет по упорству сердца своего и ходит во след иных богов, чтобы служить им и поклоняться им, будет как этот пояс, который ни к чему не годен.	هذا الشعب الشرير الذي يأبى ان يسمع كلامي الذي يسلك في عناد قلبه ويسير وراء آلهة اخرى ليعبدها ويسجد لها يصير كهذه المنطقة التي لا تصلح لشيء.	след
3334	а если не отпустишь народа Моего, то вот, Я пошлю на тебя и на рабов твоих, и на народ твой, и в домы твои песьих мух, и наполнятся домы Египтян песьими мухами и самая земля, на которой они живут;	فانه ان كنت لا تطلق شعبي ها انا ارسل عليك وعلى عبيدك وعلى شعبك وعلى بيوتك الذبّان. فتمتلئ بيوت المصريين ذبّانا. وايضا الارض التي هم عليها.	мух
